model,eps,synth_seed,intervention,accuracy,auc,dp_gap,eo_gap,dp_gap_unm,eo_gap_unm,dp_ratio,eo_ratio
logreg,inf,-1.0,reweighting,0.8145043824904812,0.8919777566314897,0.1865284890284971,0.2777777777777778,0.3681593145827039,0.5544444444444445,0.5066515544769548,0.501002004008016
logreg,inf,-1.0,expgrad,0.8056627398870518,0.7979613836991699,0.2489889007146115,0.35,0.3681593145827039,0.5544444444444445,0.6763074866021846,0.6312625250501
logreg,inf,-1.0,threshold,0.77893338103391,0.8976484769127517,0.15467886414309,0.25,0.3681593145827039,0.5544444444444445,0.4201411128723261,0.4509018036072144
logreg,1.0,0.0,reweighting,0.7530217463521836,0.8160220685823489,0.2669319117588484,0.4722222222222222,0.303060861802735,0.4933333333333333,0.8807864868166208,0.9572072072072073
logreg,1.0,0.0,expgrad,0.7398870518488232,0.7352056598422874,0.3362924281984334,0.4722222222222222,0.303060861802735,0.4933333333333333,1.109653111253043,0.9572072072072073
logreg,1.0,0.0,threshold,0.7241458615490762,0.8188285472903556,0.2536094513763308,0.3,0.303060861802735,0.4933333333333333,0.8368268006226665,0.6081081081081081
logreg,1.0,1.0,reweighting,0.7483453862469016,0.8164060525380282,0.2862399270183974,0.5277777777777778,0.3087425878059905,0.508888888888889,0.9271151383827441,1.0371179039301308
logreg,1.0,1.0,expgrad,0.7330897196739324,0.721857061573822,0.2635852212254827,0.5833333333333333,0.3087425878059905,0.508888888888889,0.8537378114842905,1.1462882096069866
logreg,1.0,1.0,threshold,0.7272123271918841,0.8195559837868079,0.2092220148227704,0.4166666666666666,0.3087425878059905,0.508888888888889,0.6776584218897671,0.818777292576419
logreg,1.0,2.0,reweighting,0.7508752204022181,0.8171930165988409,0.2798540367948913,0.5833333333333333,0.3208264737746185,0.53,0.8722909724447788,1.1006289308176098
logreg,1.0,2.0,expgrad,0.740193698413104,0.7292052335945975,0.2602402311084081,0.5833333333333333,0.3208264737746185,0.53,0.8111557255441071,1.1006289308176098
logreg,1.0,2.0,threshold,0.7346229524953364,0.8199467701988473,0.3271400334499011,0.5,0.3208264737746185,0.53,1.019679048306088,0.9433962264150942
logreg,1.0,3.0,reweighting,0.7525106687450489,0.8175738138425168,0.2816785768587502,0.4722222222222222,0.3105671278698494,0.5,0.9069812983452464,0.9444444444444444
logreg,1.0,3.0,expgrad,0.7539672399253826,0.7456860189813304,0.2740763265926714,0.6,0.3105671278698494,0.5,0.882502692646627,1.2
logreg,1.0,3.0,threshold,0.7436179183809062,0.8202266989682516,0.205707893888201,0.4499999999999999,0.3105671278698494,0.5,0.6623620963980702,0.8999999999999998
logreg,1.0,4.0,reweighting,0.7534050545575346,0.8174640004484387,0.281374486848107,0.4666666666666667,0.3115517284500024,0.5355555555555556,0.9031389048873847,0.8713692946058091
logreg,1.0,4.0,expgrad,0.7469399228272813,0.7357022486006543,0.3560922541340295,0.4705882352941176,0.3115517284500024,0.5355555555555556,1.1429635004935463,0.8786917256529166
logreg,1.0,4.0,threshold,0.7210282881455549,0.8201736230790825,0.1890048816151708,0.3333333333333333,0.3115517284500024,0.5355555555555556,0.6066565014917006,0.6224066390041494
logreg,1.0,5.0,reweighting,0.7474510004344159,0.8156890585271419,0.2352646688032364,0.4722222222222222,0.3087425878059905,0.508888888888889,0.762009123765826,0.927947598253275
logreg,1.0,5.0,expgrad,0.7140776326885238,0.7000637722863352,0.2438193705336779,0.6029411764705883,0.3087425878059905,0.508888888888889,0.7897173249285925,1.1848189057282301
logreg,1.0,5.0,threshold,0.6761045664784198,0.818655660743795,0.2812103135149466,0.3,0.3087425878059905,0.508888888888889,0.910824501126664,0.5895196506550218
logreg,1.0,6.0,reweighting,0.7500574962308026,0.8140150093649667,0.285327656986468,0.5,0.3085905428006689,0.5077777777777778,0.9246156878202605,0.9846827133479212
logreg,1.0,6.0,expgrad,0.7469399228272813,0.7377324418361245,0.2590238710658354,0.55,0.3085905428006689,0.5077777777777778,0.8393772171856524,1.0831509846827134
logreg,1.0,6.0,threshold,0.7348273835381903,0.8168279883178645,0.1939469337161087,0.4499999999999999,0.3085905428006689,0.5077777777777778,0.6284927981133461,0.8862144420131289
logreg,1.0,7.0,reweighting,0.7469399228272813,0.8143798352721917,0.2809183518321423,0.5277777777777778,0.3063140492893119,0.5311111111111111,0.9170926129046615,0.993723849372385
logreg,1.0,7.0,expgrad,0.7421869010809291,0.7319536229410366,0.2273793025329056,0.5833333333333333,0.3063140492893119,0.5311111111111111,0.7423077820310721,1.0983263598326358
logreg,1.0,7.0,threshold,0.7433368256969821,0.8171544117820465,0.298555572449445,0.4722222222222222,0.3063140492893119,0.5311111111111111,0.9746714952909683,0.8891213389121339
logreg,1.0,8.0,reweighting,0.753175069634324,0.8189423460981755,0.2806142618214992,0.5833333333333333,0.3025784596557378,0.5555555555555556,0.9274099092869047,1.0499999999999998
logreg,1.0,8.0,expgrad,0.7479365241611938,0.7395598889526117,0.2587197810551923,0.55,0.3025784596557378,0.5555555555555556,0.8550502284582774,0.99
logreg,1.0,8.0,threshold,0.7121866455421255,0.8218291833753406,0.3967766458871826,0.3888888888888888,0.3025784596557378,0.5555555555555556,1.3113182159054542,0.6999999999999997
logreg,1.0,9.0,reweighting,0.7493930953415276,0.8163443447337879,0.2941462672951193,0.4622222222222222,0.3042798353255992,0.5044444444444445,0.966696550825866,0.9162995594713655
logreg,1.0,9.0,expgrad,0.7523062377021951,0.7431250020945683,0.2745324616086361,0.5,0.3042798353255992,0.5044444444444445,0.9022367890887956,0.9911894273127753
logreg,1.0,9.0,threshold,0.7410880842255897,0.8185308447089553,0.2482684661893962,0.4,0.3042798353255992,0.5044444444444445,0.815921521463073,0.7929515418502202
logreg,2.0,0.0,reweighting,0.7579025375003194,0.825400783270605,0.2831990269119659,0.5555555555555556,0.3123916679337084,0.5022222222222222,0.9065511535091988,1.1061946902654867
logreg,2.0,0.0,expgrad,0.7370761250095827,0.7307343480727388,0.281374486848107,0.5555555555555556,0.3123916679337084,0.5022222222222222,0.9007106006035237,1.1061946902654867
logreg,2.0,0.0,threshold,0.5707714716479697,0.828412844028429,0.3736049870761745,0.4797297297297297,0.3123916679337084,0.5022222222222222,1.1959505499853986,0.9552140636211433
logreg,2.0,1.0,reweighting,0.7592824470395829,0.8258288361343631,0.2973392124068724,0.4633333333333334,0.3111753078911357,0.5033333333333334,0.9555360109449821,0.9205298013245032
logreg,2.0,1.0,expgrad,0.7473998926737025,0.7370933657669558,0.2341348182665202,0.5,0.3111753078911357,0.5033333333333334,0.7524209419226541,0.9933774834437085
logreg,2.0,1.0,threshold,0.7286433444918611,0.8287723407602036,0.1783189512520422,0.4,0.3111753078911357,0.5033333333333334,0.5730498106052389,0.7947019867549668
logreg,2.0,2.0,reweighting,0.7556026882682135,0.8230728456298261,0.2816785768587502,0.5,0.3117834879124221,0.5122222222222222,0.9034428947625085,0.9761388286334056
logreg,2.0,2.0,expgrad,0.7522806838218383,0.7425462023726396,0.2596320510871218,0.5555555555555556,0.3117834879124221,0.5122222222222222,0.8327318833512142,1.0845986984815619
logreg,2.0,2.0,threshold,0.7154064344670739,0.8260484170511359,0.2141097764938421,0.2222222222222222,0.3117834879124221,0.5122222222222222,0.6867258363405829,0.4338394793926247
