model,eps,intervention,dp_gap_mean,dp_gap_ci_lo,dp_gap_ci_hi,dp_gap_n,eo_gap_mean,eo_gap_ci_lo,eo_gap_ci_hi,eo_gap_n
logreg,1.0,expgrad,0.2753761248055272,0.24672137491508378,0.3040308746959706,10.0,0.5495751633986928,0.5130289677535146,0.5861213590438711,10.0
logreg,1.0,reweighting,0.27723501460174593,0.2656290737494128,0.28884095545407906,10.0,0.5067777777777778,0.47320270931944497,0.5403528462361106,10.0
logreg,1.0,threshold,0.2603442206909453,0.21249980253061368,0.30818863885127695,10.0,0.4011111111111111,0.35049999186557945,0.4517222303566427,10.0
logreg,1.0,unmitigated,0.3085254254580504,0.304733475365728,0.3123173755503728,10.0,0.5175555555555554,0.5036121925117705,0.5314989185993404,10.0
logreg,2.0,expgrad,0.26319025091131065,0.25003987573351627,0.27634062608910503,10.0,0.5157777777777778,0.4831477500035394,0.5484078055520162,10.0
logreg,2.0,reweighting,0.28445042214653926,0.2779055275610018,0.29099531673207674,10.0,0.5153333333333334,0.4802585127960528,0.550408153870614,10.0
logreg,2.0,threshold,0.24992876851140125,0.19662257320140708,0.3032349638213954,10.0,0.4313063063063063,0.3724127264533534,0.4901998861592592,10.0
logreg,2.0,unmitigated,0.31601013762599883,0.3127857618253905,0.3192345134266072,10.0,0.5084444444444445,0.5044228317104816,0.5124660571784073,10.0
logreg,4.0,expgrad,0.2648732979083064,0.2185271232323449,0.31121947258426785,10.0,0.5528888888888889,0.5061661780316631,0.5996115997461147,10.0
logreg,4.0,reweighting,0.28123667968642996,0.2735172087224147,0.2889561506504452,10.0,0.4891111111111111,0.4658717699537277,0.5123504522684945,10.0
logreg,4.0,threshold,0.19851309596801184,0.18562906778077934,0.21139712415524434,10.0,0.4388888888888888,0.35246579216165613,0.5253119856161215,10.0
logreg,4.0,unmitigated,0.3179239888775572,0.31640188095622973,0.31944609679888464,10.0,0.5111111111111111,0.5059327695675293,0.5162894526546928,10.0
logreg,8.0,expgrad,0.3458850671663655,0.2524882668555762,0.43928186747715486,10.0,0.5824174174174175,0.5290816011154117,0.6357532337194233,10.0
logreg,8.0,reweighting,0.2820006615082519,0.27668226379709177,0.2873190592194121,10.0,0.5111111111111111,0.48119438245807755,0.5410278397641446,10.0
logreg,8.0,threshold,0.24806394427802383,0.19456619675479803,0.30156169180124964,10.0,0.4186196501845356,0.379348255034645,0.45789104533442626,10.0
logreg,8.0,unmitigated,0.31994770988330906,0.3174871606377116,0.3224082591289065,10.0,0.5123333333333334,0.5006609218279059,0.524005744838761,10.0
logreg,inf,expgrad,0.2489889007146115,0.2489889007146115,0.2489889007146115,1.0,0.35,0.35,0.35,1.0
logreg,inf,reweighting,0.1865284890284971,0.1865284890284971,0.1865284890284971,1.0,0.2777777777777778,0.2777777777777778,0.2777777777777778,1.0
logreg,inf,threshold,0.15467886414309,0.15467886414309,0.15467886414309,1.0,0.25,0.25,0.25,1.0
logreg,inf,unmitigated,0.3681593145827039,0.3681593145827039,0.3681593145827039,1.0,0.5544444444444445,0.5544444444444445,0.5544444444444445,1.0
xgboost,1.0,expgrad,0.3034884188078479,0.2622012721891968,0.34477556542649895,10.0,0.6483333333333333,0.6073285582186245,0.6893381084480421,10.0
xgboost,1.0,reweighting,0.3323804973431738,0.3186437407755414,0.3461172539108062,10.0,0.5736666666666667,0.5627680338096173,0.584565299523716,10.0
xgboost,1.0,threshold,0.334544172309046,0.30005387009749346,0.3690344745205985,10.0,0.47465063001145485,0.4088048022203157,0.540496457802594,10.0
xgboost,1.0,unmitigated,0.37089522717008405,0.3657073103924878,0.3760831439476803,10.0,0.6261111111111111,0.6162883997608088,0.6359338224614133,10.0
xgboost,2.0,expgrad,0.27953870889467364,0.2619609463543521,0.2971164714349952,10.0,0.6273529411764706,0.5723438720937913,0.6823620102591498,10.0
xgboost,2.0,reweighting,0.3530782643577392,0.3455861970469767,0.3605703316685017,10.0,0.5568888888888889,0.5521671794652374,0.5616105983125403,10.0
xgboost,2.0,threshold,0.27522957743370596,0.23266165931785862,0.31779749554955333,10.0,0.4339639639639639,0.3252015322797191,0.5427263956482087,10.0
xgboost,2.0,unmitigated,0.37775903523636173,0.37451302007493786,0.3810050503977856,10.0,0.6185555555555556,0.6131901334449531,0.6239209776661582,10.0
xgboost,4.0,expgrad,0.274205360956673,0.25758207109029113,0.2908286508230549,10.0,0.6256535947712417,0.5917273581741135,0.65957983136837,10.0
xgboost,4.0,reweighting,0.3509800432843015,0.34238970544548614,0.35957038112311684,10.0,0.5723333333333332,0.554973945900506,0.5896927207661605,10.0
xgboost,4.0,threshold,0.2593013992566583,0.18760314095261707,0.3309996575606995,10.0,0.4725508905852417,0.33927631102859024,0.6058254701418931,10.0
xgboost,4.0,unmitigated,0.3744256722558994,0.3708869195673421,0.3779644249444567,10.0,0.6168888888888888,0.6111352061869166,0.622642571590861,10.0
xgboost,8.0,expgrad,0.29086256726776594,0.2721587495971094,0.3095663849384225,10.0,0.663888888888889,0.615786230155655,0.7119915476221229,10.0
xgboost,8.0,reweighting,0.35000598475020944,0.3442326136422818,0.3557793558581371,10.0,0.5665555555555555,0.549973809797496,0.583137301313615,10.0
xgboost,8.0,threshold,0.26850455283847446,0.20223671870634188,0.33477238697060707,10.0,0.357271139887984,0.248607087977066,0.46593519179890197,10.0
xgboost,8.0,unmitigated,0.3742305837299242,0.37176069528595185,0.3767004721738965,10.0,0.6163333333333334,0.612474737026895,0.6201919296397718,10.0
xgboost,inf,expgrad,0.2673863463585221,0.2673863463585221,0.2673863463585221,1.0,0.4,0.4,0.4,1.0
xgboost,inf,reweighting,0.2640413562414475,0.2640413562414475,0.2640413562414475,1.0,0.35,0.35,0.35,1.0
xgboost,inf,threshold,0.1716279447287825,0.1716279447287825,0.1716279447287825,1.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0
xgboost,inf,unmitigated,0.3928114471230742,0.3928114471230742,0.3928114471230742,1.0,0.6077777777777778,0.6077777777777778,0.6077777777777778,1.0
