model,eps,intervention,n,dp_worst_gap,dp_p90_gap,dp_backfire_rate,eo_worst_gap,eo_p90_gap,eo_backfire_rate
logreg,1.0,expgrad,10,0.3560922541340295,0.338272410791993,0.2,0.6029411764705883,0.6002941176470588,0.6
logreg,1.0,reweighting,10,0.2941462672951193,0.2870305610460696,0.0,0.5833333333333333,0.5833333333333333,0.3
logreg,1.0,threshold,10,0.3967766458871826,0.3341036946936292,0.2,0.5,0.475,0.0
logreg,2.0,expgrad,10,0.2927778622472252,0.28251482438801884,0.0,0.5833333333333333,0.5583333333333333,0.5
logreg,2.0,reweighting,10,0.2973392124068724,0.2937813592823475,0.0,0.6111111111111112,0.5611111111111111,0.5
logreg,2.0,threshold,10,0.3736049870761745,0.34191272616694546,0.2,0.5,0.5,0.0
logreg,4.0,expgrad,10,0.3669712793733681,0.354242819843342,0.3,0.65,0.6399999999999999,0.6
logreg,4.0,reweighting,10,0.2953626273376919,0.2892048046221681,0.0,0.5555555555555556,0.5305555555555556,0.2
logreg,4.0,threshold,10,0.2431816960677503,0.20920570482783873,0.0,0.75,0.5249999999999999,0.1
logreg,8.0,expgrad,10,0.6085106382978724,0.5654463640908839,0.3,0.75,0.6405405405405405,0.7
logreg,8.0,reweighting,10,0.2859358370077542,0.2859358370077542,0.0,0.5833333333333333,0.5583333333333333,0.3
logreg,8.0,threshold,10,0.3792914702752014,0.35698646799452627,0.2,0.5555555555555556,0.45975402883799826,0.1
logreg,inf,expgrad,1,0.2489889007146115,0.2489889007146115,0.0,0.35,0.35,0.0
logreg,inf,reweighting,1,0.1865284890284971,0.1865284890284971,0.0,0.2777777777777778,0.2777777777777778,0.0
logreg,inf,threshold,1,0.15467886414309,0.15467886414309,0.0,0.25,0.25,0.0
xgboost,1.0,expgrad,10,0.451063829787234,0.3422395258783834,0.1,0.75,0.705,0.7
xgboost,1.0,reweighting,10,0.3622294326780302,0.3523812835833449,0.0,0.6,0.5870000000000001,0.0
xgboost,1.0,threshold,10,0.4098631918452117,0.3964432144255125,0.3,0.65,0.56,0.1
xgboost,2.0,expgrad,10,0.3221799366898316,0.30938989186999954,0.0,0.75,0.75,0.3
xgboost,2.0,reweighting,10,0.3669379753428291,0.36174240341098407,0.0,0.5700000000000001,0.5640000000000001,0.0
xgboost,2.0,threshold,10,0.3608940246312909,0.35076782727687394,0.0,0.7,0.61,0.1
xgboost,4.0,expgrad,10,0.3166207835817274,0.3119769409191929,0.0,0.7,0.7,0.5
xgboost,4.0,reweighting,10,0.3742361355982647,0.36356257622469007,0.1,0.6,0.6,0.0
xgboost,4.0,threshold,10,0.5371750038011252,0.29465723556300316,0.1,0.8088422391857506,0.755884223918575,0.2
xgboost,8.0,expgrad,10,0.336837916789327,0.31535832478754133,0.0,0.75,0.75,0.8
xgboost,8.0,reweighting,10,0.3584283075449908,0.35815025928525906,0.0,0.6,0.6,0.0
xgboost,8.0,threshold,10,0.4378287973240078,0.42729207845522266,0.2,0.6377777777777778,0.49087701441899906,0.1
xgboost,inf,expgrad,1,0.2673863463585221,0.2673863463585221,0.0,0.4,0.4,0.0
xgboost,inf,reweighting,1,0.2640413562414475,0.2640413562414475,0.0,0.35,0.35,0.0
xgboost,inf,threshold,1,0.1716279447287825,0.1716279447287825,0.0,0.2222222222222222,0.2222222222222222,0.0
