model,eps,intervention,dp_ratio_mean,dp_ratio_ci_lo,dp_ratio_ci_hi,dp_ratio_n,eo_ratio_mean,eo_ratio_ci_lo,eo_ratio_ci_hi,eo_ratio_n
logreg,1.0,expgrad,0.8928702183114006,0.798826034971394,0.9869144016514071,10.0,1.0630301750841076,0.987903270732717,1.138157079435498,10.0
logreg,1.0,reweighting,0.8988136685480294,0.8595913439246258,0.9380359931714329,10.0,0.9783421501450148,0.9287531752976337,1.027931124992396,10.0
logreg,1.0,threshold,0.8444411400607799,0.6871592876983749,1.001722992423185,10.0,0.7750495239534274,0.6788438738994865,0.8712551740073683,10.0
logreg,2.0,expgrad,0.8328101727840558,0.7925260088015977,0.8730943367665138,10.0,1.0146047249486894,0.9495097205959038,1.079699729301475,10.0
logreg,2.0,reweighting,0.9004813836582874,0.8742141536552934,0.9267486136612815,10.0,1.013960641093411,0.9414421668789424,1.0864791153078794,10.0
logreg,2.0,threshold,0.7917601239504826,0.6208785603747616,0.9626416875262035,10.0,0.8488908868249725,0.7311891823158091,0.9665925913341359,10.0
logreg,4.0,expgrad,0.8336384090948818,0.6860206050424588,0.9812562131473049,10.0,1.0821508508469417,0.9883763824928637,1.1759253192010197,10.0
logreg,4.0,reweighting,0.8845022760973793,0.862715730695844,0.9062888214989147,10.0,0.9568920322450897,0.9133433087329739,1.0004407557572055,10.0
logreg,4.0,threshold,0.6243153112432622,0.5846435809426576,0.6639870415438669,10.0,0.8602038998808247,0.6861487912649034,1.034259008496746,10.0
logreg,8.0,expgrad,1.0806685192561492,0.7905824276054038,1.3707546109068947,10.0,1.1377024622782161,1.0303673518639014,1.245037572692531,10.0
logreg,8.0,reweighting,0.8815753505048681,0.8615038681758564,0.9016468328338798,10.0,0.9978794673647856,0.9406294254701402,1.055129509259431,10.0
logreg,8.0,threshold,0.7755839817969873,0.6075655670629065,0.943602396531068,10.0,0.8175125126646405,0.7398100303708521,0.8952149949584289,10.0
logreg,inf,expgrad,0.6763074866021846,0.6763074866021846,0.6763074866021846,1.0,0.6312625250501,0.6312625250501,0.6312625250501,1.0
logreg,inf,reweighting,0.5066515544769548,0.5066515544769548,0.5066515544769548,1.0,0.501002004008016,0.501002004008016,0.501002004008016,1.0
logreg,inf,threshold,0.4201411128723261,0.4201411128723261,0.4201411128723261,1.0,0.4509018036072144,0.4509018036072144,0.4509018036072144,1.0
xgboost,1.0,expgrad,0.8196612293365657,0.7013122019673138,0.9380102567058176,10.0,1.0359004377554784,0.9690906638538322,1.1027102116571244,10.0
xgboost,1.0,reweighting,0.8959579620161703,0.8641863991163631,0.9277295249159775,10.0,0.9164132084548177,0.8997348034901445,0.9330916134194909,10.0
xgboost,1.0,threshold,0.9035984050148939,0.802517953430159,1.0046788565996287,10.0,0.7588688387594977,0.6507420891795436,0.8669955883394519,10.0
xgboost,2.0,expgrad,0.7399291067228934,0.6942793307646595,0.7855788826811272,10.0,1.0150224113273094,0.9215685719550086,1.1084762506996102,10.0
xgboost,2.0,reweighting,0.9346173873221435,0.9177589649075416,0.9514758097367454,10.0,0.9003676684826221,0.8925637862569138,0.9081715507083303,10.0
xgboost,2.0,threshold,0.7282636004047374,0.6169064777589692,0.8396207230505055,10.0,0.7020510625892608,0.5251064438277538,0.8789956813507677,10.0
xgboost,4.0,expgrad,0.7325286388252019,0.6869125934993485,0.7781446841510553,10.0,1.0144351082963392,0.957958552585338,1.0709116640073404,10.0
xgboost,4.0,reweighting,0.9375075344872357,0.9131634154281977,0.9618516535462737,10.0,0.9278512016881235,0.8995686178669817,0.9561337855092653,10.0
xgboost,4.0,threshold,0.69335386794847,0.49945741676331235,0.8872503191336276,10.0,0.7666875178839663,0.549582563141006,0.9837924726269266,10.0
xgboost,8.0,expgrad,0.7769312020290063,0.730033626487665,0.8238287775703477,10.0,1.0773370277990666,0.9984162469028375,1.1562578086952957,10.0
xgboost,8.0,reweighting,0.9352628122519405,0.9212848106006671,0.9492408139032139,10.0,0.9193577068946555,0.8906885966282789,0.948026817161032,10.0
xgboost,8.0,threshold,0.7170702651761387,0.5405101146053997,0.8936304157468777,10.0,0.5801338982630309,0.4035351972401113,0.7567325992859504,10.0
xgboost,inf,expgrad,0.6806989671936562,0.6806989671936562,0.6806989671936562,1.0,0.6581352833638027,0.6581352833638027,0.6581352833638027,1.0
xgboost,inf,reweighting,0.6721834564019694,0.6721834564019694,0.6721834564019694,1.0,0.5758683729433273,0.5758683729433273,0.5758683729433273,1.0
xgboost,inf,threshold,0.43692195323169564,0.43692195323169564,0.43692195323169564,1.0,0.3656307129798903,0.3656307129798903,0.3656307129798903,1.0
