model,eps,intervention,n,dp_std,eo_std,acc_std,dp_std_unm,eo_std_unm,acc_std_unm,dp_std_ratio,eo_std_ratio,acc_std_ratio
logreg,1.0,expgrad,10,0.04005657826264209,0.05108805875674865,0.011545478307353611,0.0053007807160027854,0.019491477508728053,0.002057901087402553,7.556731811544917,2.6210459793964835,5.610317414199004
logreg,1.0,reweighting,10,0.016223986593514927,0.046934709341968715,0.0024533203910413874,0.0053007807160027854,0.019491477508728053,0.002057901087402553,3.060678692958481,2.407960572560593,1.1921468947460083
logreg,1.0,threshold,10,0.06688188477642443,0.07074946620611304,0.020277351416100466,0.0053007807160027854,0.019491477508728053,0.002057901087402553,12.617364942962354,3.62976414560837,9.853414015002143
logreg,1.0,unmitigated,10,0.0053007807160027854,0.019491477508728053,0.002057901087402553,0.0053007807160027854,0.019491477508728053,0.002057901087402553,1.0,1.0,1.0
logreg,2.0,expgrad,10,0.018382956909636265,0.045613633559819525,0.005524641505448643,0.004507366565719441,0.005621826951410465,0.0015789757169998126,4.078425094033166,8.113667310299453,3.4988768009339175
logreg,2.0,reweighting,10,0.009149131756119767,0.04903121818446847,0.0014838374542543102,0.004507366565719441,0.005621826951410465,0.0015789757169998126,2.0298175492765655,8.721580832751707,0.9397468487189446
logreg,2.0,threshold,10,0.07451692276087854,0.08232754777363235,0.053024533742946724,0.004507366565719441,0.005621826951410465,0.0015789757169998126,16.532252630086354,14.644269289181361,33.581601776433786
logreg,2.0,unmitigated,10,0.004507366565719441,0.005621826951410465,0.0015789757169998126,0.004507366565719441,0.005621826951410465,0.0015789757169998126,1.0,1.0,1.0
logreg,4.0,expgrad,10,0.06478748480372803,0.06531384609011834,0.011923331224226006,0.00212776015522559,0.007238822328034141,0.0008493435678862821,30.44867845871431,9.022717112032742,14.038289892391829
logreg,4.0,reweighting,10,0.010791076313647974,0.032486358855061126,0.0011565024893564842,0.00212776015522559,0.007238822328034141,0.0008493435678862821,5.071566119492392,4.487796133529844,1.3616427239622393
logreg,4.0,threshold,10,0.018010629490508495,0.12081115874296364,0.012655142263940171,0.00212776015522559,0.007238822328034141,0.0008493435678862821,8.464595714078012,16.689338854898033,14.899909462356177
logreg,4.0,unmitigated,10,0.00212776015522559,0.007238822328034141,0.0008493435678862821,0.00212776015522559,0.007238822328034141,0.0008493435678862821,1.0,1.0,1.0
logreg,8.0,expgrad,10,0.130559724144624,0.07455833005248877,0.0038893942382249975,0.003439610668464816,0.016316906159312094,0.0012725273663691116,37.957704149957195,4.569391361605532,3.056432687434113
logreg,8.0,reweighting,10,0.007434607350036332,0.04182070292828228,0.0012296022842674464,0.003439610668464816,0.016316906159312094,0.0012725273663691116,2.161467696968908,2.563028954138779,0.9662678514929366
logreg,8.0,threshold,10,0.0747846942909052,0.05489762497732953,0.016290242750736577,0.003439610668464816,0.016316906159312094,0.0012725273663691116,21.74219744593462,3.3644628731286375,12.801487167397703
